product_name,sds_filename,database_match,match_confidence,signal_word,hazard_statements,precautionary_statements,response_statements,components_determining_hazard,first_aid,storage,disposal,un_number,proper_shipping_name,hazard_class,packing_group,emergency_response_guide,extraction_confidence,processing_notes,processing_timestamp
Cure & Seal WB,Cure-&-Seal-WB-sds.pdf,Cure & Seal WB,1,WARNING,H320 Causes eye irritation,P264 Wash thoroughly after handling,P305+P351+P338 IF IN EYES: Rinse cautiously with water for several minutes. P337+P313 If eye irritation persists: Get medical advice/ attention.,"WT% CAS No. EINECS No. Hazard Classification Propylene glycol ether < 3% 770-35-4 212-22-7 Eye Irrit. 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center if you feel unwell. If professional advice is not available, do not induce vomiting.",and use. 10.3 Possibility of Hazardous Reactions: Will not occur. 10.4 Conditions to Avoid: Avoid excessive temperatures. 10.5 Incompatible Substances: Strong oxidizing agents.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.287Z
Cure Hard Plus,Cure-Hard-Plus-sds.pdf,Cure Hard Plus,1,DANGER,H302 Harmful if swallowed H314 Causes severe skin burns and eye damage,"P260 Do not breathe dust or mists. P264 Wash skin thoroughly after handling. P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection.",,"WT% CAS No. EINECS No. Hazard Classification Sodium Silicate N < 50% 1344-09-8 215-687-4 Acute Tox. 4, Skin Corr. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause burns. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.310Z
Cure Hard Concentrate,Cure-Hard-sds.pdf,Cure Hard Concentrate,1,DANGER,H302 Harmful if swallowed H314 Causes severe skin burns and eye damage,"P260 Do not breathe dust or mists. P264 Wash skin thoroughly after handling. P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection.",,"WT% CAS No. EINECS No. Hazard Classification Sodium Silicate N < 50% 1344-09-8 215-687-4 Acute Tox. 4, Skin Corr. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause burns. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.332Z
Cure Shield EX,Cure-Shield-EX-sds.pdf,Cure Shield EX,1,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Petroleum naptha, light aromatic < 20% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Dimethyl Carbonate < 50% 616-38-6 210-478-4 Flam. Liq. 2; H225 1,2,4,-Trimethylbenzene < 10% 95-63-6 202-436-9 Flam. Liq. 3; Acute Inhalation Tox. 4; Skin Irr. 2; Serious Eye Damage/Eye Irritation Category 2","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: 25% solids solvent-based cure & seal. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Petroleum naptha, light aromatic 64742-95-6 2000 mg/mgᵌ 350 mg/mᵌ Dimethyl Carbonate 616-38-6 None Listed None Listed 1,2,4,-Trimethylbenzene 95-63-6 25 ppm 25 ppm 1,3,5 – Trimethylbenzene 108-67-8 25 ppm 25 ppm Isobutyl Trimethoxysilane 18395-30-7 None Listed None Listed Proprietary Solvent Blend N/E N/E N/E",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:53.360Z
Cure Shield WB,Cure-Shield-WB-sds.pdf,Cure Shield WB,1,WARNING,H320 Causes eye irritation,P264 Wash thoroughly after handling,P305+P351+P338 IF IN EYES: Rinse cautiously with water for several minutes. P337+P313 If eye irritation persists: Get medical advice/ attention.,"WT% CAS No. EINECS No. Hazard Classification Propylene glycol ether < 3% 770-35-4 212-22-7 Eye Irrit. 2 Triethoxyoctylsilane < 2% 2943-75-1 220-941-2 Skin Irrit. 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to",Statements: None applicable,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.387Z
Cure Shield WB,Cure-Shield-sds.pdf,Cure Shield WB,1,DANGER,H226 Flammable liquid and vapour H315 Causes skin irritation H319 Causes serious eye irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H412 Harmful to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 50% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Isobutyl Trimethoxysilane 15-35% 18395-30-7 242-272-5 Flam. Liq. 3; Skin Irrit. 2; Eye Irrit. 2, STOT SE 3 Stoddard Solvent < 18% 8052-41-3 232-489-3 Carc. 1B, Muta. 1B, ASP. Tox. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,"Combustible Liquid, n.o.s. (Isobutyl Trimethoxysilane)",Number and Description: Class 3 – Combustible Liquid,Packing Group: III,,71,,2025-09-25T06:16:53.411Z
UW Grout,DOT-Grout-sds.pdf,UW Grout,0.6666666666666667,DANGER,H351 Suspected of causing cancer H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Portland Cement < 50% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Crystalline Silica (Quartz)/ Silica Sand < 50% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Limestone 10-15% 1317-65-3 215-279-6 Skin Irrit. 3, Eye Irrit. 2B Fly Ash < 15% 681131-74-8 N/A N/A Napthalene < 0.4% 91-20-3 202-049-5 Acute Tox. 4, Carc. 2, Aquatic Acute 1, Aquatic Chron 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,Low product match confidence,2025-09-25T06:16:53.435Z
Deco Liquid Release,Deco-Liquid-Release-sds.pdf,Deco Liquid Release,1,DANGER,H227 Combustible liquid H340 May cause genetic defects H350 May cause cancer H372 Causes damage to organs through prolonged or repeated exposure. H304 May be fatal if swallowed and enters airways,"P280 Wear protective gloves/eye protection/face protection. P210 Keep away from flames and hot surfaces. No smoking. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breathe dust/fume/gas/mist/vapours/spray. P264 Wash hands thoroughly after handling. P270 Do not eat, drink or smoke when using this product.",,"WT% CAS No. EINECS No. Hazard Classification Stoddard Solvent 90 - 99% 8052-41-3 232-489-3 Carc. 1B, Muta. 1B, STOT RE 1, ASP. Tox. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center if you feel unwell. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and respiratory may cause irritation. Contact with the eyes may cause burns. Contact with skin may",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P405 Store locked up.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Liquid release for decorative texturing mats. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Stoddard Solvent 8052-41-3 500 ppm 350 mg/m3 8.2 Exposure Controls: Ventilation and Engineering Controls: Use with adequate ventilation to ensure exposure levels are maintained below the limits provided above.",,"Petroleum distillate, n.o.s (Contains Stoddard Solvent)",Number and Description: Class 3 – Combustible Liquid,Packing Group: III,,86,,2025-09-25T06:16:53.458Z
Deco Shine Brown EX,Deco-Shine-Brown-EX-sds.pdf,Deco Shine Brown EX,1,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Petroleum naptha, light aromatic < 20% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Dimethyl Carbonate < 50% 616-38-6 210-478-4 Flam. Liq. 2; H225","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: 25% solids solvent-based cure & seal. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Petroleum naptha, light aromatic 64742-95-6 2000 mg/mgᵌ 350 mg/mᵌ Dimethyl Carbonate 616-38-6 None Listed None Listed 1,2,4,-Trimethylbenzene 95-63-6 25 ppm 25 ppm 1,3,5 – Trimethylbenzene 108-67-8 25 ppm 25 ppm Proprietary Solvent Blend N/E N/E N/E",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:53.491Z
Deco Shine Matte,Deco-Shine-Matte-sds.pdf,Deco Shine Matte,1,DANGER,H226 Flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H402 Harmful to aquatic life H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 80% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Diisodecyl Phthalate < 2% 68515-49-1 247-977-1 Aquatic Acute 1, Aquatic Chronic 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers).","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,"Petroleum distillates, n.o.s (contains Aromatic Hydrocarbon)",Number and Description: Class 3 – Combustible Liquid,Packing Group: III,,71,,2025-09-25T06:16:53.516Z
Deco Shine,Deco-Shine-sds.pdf,Deco Shine,1,DANGER,H226 Flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H402 Harmful to aquatic life H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 80% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Diisodecyl Phthalate < 2% 68515-49-1 247-977-1 Aquatic Acute 1, Aquatic Chronic 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers).","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Resin solution,Number and Description: Class 3 - Flammable liquids,Packing Group: III,,71,,2025-09-25T06:16:53.546Z
Dry Deck WB,Dry-Deck-WB-sds.pdf,Dry Deck WB,1,WARNING,H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H412 Harmful to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling P201 Obtain special instructions before use P202 Do not handle until all safety precautions have been read and understood P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P271 Use only outdoors or in a well-ventilated area P273 Avoid release to the environment,P303+P361+P353 IF ON SKIN (or hair): Take off immediately all contaminated clothing. Rinse skin with water/shower. P321 Specific treatment (see supplemental,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 5% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.570Z
Duo Patch,Duo-Patch-sds.pdf,Duo Patch,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50–70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25–45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3–10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1–4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:53.609Z
